QuestLvl,1,2,3,4,5,6,7,8
1,10,20,40,60,80,100,120,160
2,15,45,85,130,170,215,255,340
3,25,65,125,190,250,315,380,500
4,35,90,180,270,355,445,540,710
5,45,110,225,335,450,560,670,900
6,55,135,270,405,540,680,810,1080
7,65,160,315,475,630,790,950,1260
8,70,175,350,530,700,880,1050,1400
9,80,195,390,590,780,980,1150,1560
10,85,210,420,630,840,1050,1250,1680
11,90,220,440,660,880,1100,1300,1760
12,90,225,455,680,910,1150,1350,1820
13,90,230,455,680,910,1150,1350,1820
14,100,245,490,740,980,1250,1450,1960
15,105,270,540,800,1050,1350,1600,2100
16,115,290,580,880,1150,1450,1750,2300
17,125,315,630,950,1250,1600,1900,2500
18,135,340,680,1000,1350,1700,2050,2700
19,145,365,730,1100,1450,1800,2200,2900
20,155,390,780,1150,1550,1950,2350,3100
21,165,415,830,1250,1650,2050,2500,3300
22,175,435,870,1300,1750,2200,2600,3500
23,185,460,920,1400,1850,2300,2750,3700
24,195,485,970,1450,1950,2400,2900,3900
25,200,510,1000,1500,2000,2550,3050,4000
26,210,530,1050,1600,2100,2650,3150,4200
27,220,550,1100,1650,2200,2750,3300,4400
28,230,570,1150,1700,2300,2850,3400,4600
29,235,590,1200,1750,2350,2950,3550,4700
30,245,610,1200,1850,2450,3050,3650,4900
31,250,630,1250,1900,2540,3150,3800,5080
32,270,670,1350,2000,2710,3350,4050,5420
33,290,720,1450,2150,2900,3600,4350,5800
34,310,770,1550,2300,3100,3850,4650,6200
35,330,820,1650,2450,3300,4100,4950,6600
36,350,870,1750,2600,3500,4350,5250,7000
37,370,920,1850,2750,3710,4600,5550,7420
38,390,980,1950,2900,3920,4900,5850,7840
39,410,1030,2050,3100,4140,5150,6200,8280
40,435,1090,2150,3250,4370,5450,6550,8740
41,455,1140,2250,3400,4590,5700,6850,9180
42,480,1200,2400,3600,4820,6000,7200,9640
43,505,1260,2500,3750,5050,6300,7550,10100
44,525,1320,2600,3950,5290,6600,7900,10580
45,550,1380,2750,4150,5540,6900,8300,11080
46,575,1440,2850,4300,5790,7200,8650,11580
47,600,1510,3000,4500,6040,7550,9050,12080
48,625,1570,3100,4700,6290,7850,9400,12580
49,655,1630,3250,4900,6550,8150,9800,13100
50,680,1700,3400,5100,6810,8500,10200,13620
51,705,1760,3500,5300,7070,8800,10600,14140
52,730,1830,3650,5500,7340,9150,11000,14680
53,760,1900,3800,5700,7610,9500,11400,15220
54,785,1970,3900,5900,7890,9850,11800,15780
55,815,2040,4050,6100,8170,10200,12250,16340
56,845,2110,4200,6300,8450,10550,12650,16900
57,870,2180,4350,6500,8730,10900,13050,17460
58,900,2250,4500,6750,9020,11250,13500,18040
59,930,2320,4650,6950,9310,11600,13950,18620
60,955,2380,4750,7150,9550,11900,14300,19100
61,970,2400,4850,7300,9800,12200,14700,19600
62,1000,2550,5000,7600,10050,12600,15050,20100
63,1050,2600,5250,7800,10400,12950,15550,20800
64,1080,2650,5400,8050,10750,13350,16000,21500
65,1100,2700,5500,8250,11000,13750,16500,22000
66,1130,2850,5650,8550,11300,14150,17000,22600
67,1160,2900,5800,8750,11650,14600,17450,23300
68,1200,3050,6000,9000,12000,14950,17950,24000
69,1230,3100,6150,9250,12300,15400,18450,24600
70,1250,3150,6250,9500,12650,15800,19000,25300
71,2000,5050,10050,15100,20100,25150,30150,40200
72,2050,5100,10150,15250,20300,25400,30450,40600
73,2050,5150,10250,15400,20500,25650,30750,41000
74,2100,5200,10400,15550,20750,25950,31150,41500
75,2100,5250,10500,15700,20950,26200,31450,41900
76,2100,5300,10600,15850,21150,26450,31750,42300
77,2150,5350,10700,16050,21400,26750,32100,42800
78,2150,5400,10800,16200,21600,27000,32400,43200
79,2200,5450,10900,16350,21800,27250,32700,43600
80,2200,5500,11050,16550,22050,27550,33100,44100
81,2770,6950,13850,20800,27700,34650,41550,55400
82,3490,8750,17450,26200,34900,43650,52350,69800
83,4390,11000,21950,32950,43900,54900,65850,87800
84,5520,13800,27600,41400,55200,69000,82800,110400
85,6940,17350,34700,52050,69400,86750,104100,138800
86,7190,18000,35950,53950,71900,89900,107850,143800
87,7440,18600,37200,55800,74400,93000,111600,148800
88,7700,19250,38500,57750,77000,96250,115500,154000
89,17500,43750,87500,131250,175000,218750,262500,350000
90,17635,44100,88200,132250,176350,220450,264550,352700
91,17765,44400,88850,133250,177650,222050,266500,355300
92,17900,44750,89500,134250,179000,223750,268500,358000
93,18030,45100,90150,135250,180300,225400,270450,360600
94,18160,45400,90800,136200,181600,227000,272400,363200
95,18290,45750,91450,137200,182900,228650,274350,365800
96,18420,46050,92100,138150,184200,230250,276300,368400
97,18545,46350,92750,139100,185450,231800,278200,370900
98,18675,46700,93400,140050,186750,233450,280150,373500
99,18800,47000,94000,141000,188000,235000,282000,376000
100,18930,47350,94650,142000,189300,236650,283950,378600
